Variable name ,Data type,Values/Categories,Notes
typeOfLabourConstruction,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities defined in ISIC Section F ñConstructionî.
typeOfLabourDomesticWork,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities defined in ISIC Section T ñActivities of households as employers; undifferentiated goods- and services-producing activities of households for own useî.
typeOfLabourHospitality,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities defined in ISIC Section I ñAccommodation and food service activitiesî including both Division 55 ñAccommodationî and Division 56 ñFood and beverage service activitiesî.
typeOfLabourIllicitActivities,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities to an illegal/illicit business operation.
typeOfLabourManufacturing,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities defined in ISIC Section C ñManufacturingî.
typeOfLabourMiningOrDrilling,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities defined in ISIC Section B ñMining and quarryingî.
typeOfLabourPeddling,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities relating to informal street commerce (the sale of items on the street or in public venues).
typeOfLabourTransportation,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour in activities defined in ISIC Section H ñTransportation and storageî.
typeOfLabourOther,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced forced labour of a specified type which could not reasonably be classified in any of the categories specified in Variables 48-58.
typeOfLabourNotSpecified,Bool,| -99 [missing data] | 0 | 1,"Indicates whether the individual experienced forced labour of which the type was not provided by the responder/caseworker, the person reporting or the victim."
typeOfLabourConcatenated,Alphanumeric,"Concatenated list with the following possible components: | Agriculture/Farms/Animal Husbandry | Aquafarming/Fishing | Begging | Construction | Domestic Work | Hospitality/Restaurant/Food Service/Hotel | Illicit Activities | Manufacturing/Factory work | Mining, Quarrying, Oil/Gas Extraction | Peddling/informal street commerce | Transportation | Other | Not Specified","It  concatenates the value descriptions of all ""Type of forced labour and/or services, excluding sexual exploitation "" in alphabetical order, separated by a "";"""
typeOfSexProstitution,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced exploitation in the activities associated with the individualÍs sexual act for payment.
typeOfSexPornography,Bool,| -99 [missing data] | 0 | 1,Indicates whether the individual experienced exploitation in the production of visual material depicting sexual behavior that is intended to arouse sexual excitement in its audience and does not involve any participation from the audience.
typeOfSexRemoteInteractiveServices,Bool,| -99 [missing data] | 0 | 1,"Data collection begins 2017. Indicates whether the individual experienced exploitation while engaging in live commercial sex acts simulated through remote contact between an audience and the individual through technologies such as webcams, text-based chats, and phone sex lines."
typeOfSexPrivateSexualServices,Bool,| -99 [missing data] | 0 | 1,Data collection begins 2017.  A situation where a potential victim is heavily controlled for the sole purpose of providing personal sexual services to one/specific person(s) and a commercial element may be present. 
typeOfSexConcatenated,Alphanumeric,Concatenated list with the following possible components: | Prostitution | Pornography | Remote interactive services | Private sexual services,"It concatenates the value descriptions of all ""Type of sexual exploitation"", in alphabetical order, separated by a "";"""
isAbduction,Bool,| -99 [missing data] | 0 | 1,Data collection begins 2017.  Indicates whether the individual entered into their situation of exploitation through wrongful removal or retention. 
RecruiterRelationship,Alphanumeric,"| Intimate Partner [A person with whom the individual has identified having a current or former romantic relationship] | Friend/Acquaintance [A person with whom the individual was familiar prior to their recruitment, exclusive of romantic partners, family relations, or other more formal relationships]. | Family/Relative [A person connected biologically or through marriage to the individual or a person who the individual has identified as having been their current or former custodian 24 or guardian. This may include, but is not limited to, parents, primary caregivers, and foster parents.] | Other [A person with whom the individual had any other notable relationship that cannot reasonably fit into previous categories. This may include, but is not limited to, labor brokers, contractors, formal employers, or smugglers] | Not Specified [The IndividualÍs relationship to the person(s) who initially enticed or obtained the individual into the situation of exploitation was not provided by the responder/caseworker, the person reporting or the victim]","Polaris only:  The type of relationship the person or people who initially enticed or obtained theindividual into the situation of exploitation had to the individual. Concatenated list of the typesof recruiters positively identified in Variables 70 - 74 separated by a semi-colon (;)."
CountryOfExploitation,Alpha,,"Indicates the last country where the victim was exploited.   In the context of humantrafficking data, this is also referred to as the ñcountry of destinationî."
recruiterRelationIntimatePartner,Bool,| -99 [missing data] | 0 | 1,Indicates whether a person who initially enticed or obtained the individual into the situation of exploitation was one with whom the individual has identified having a current or former romantic relationship.
recruiterRelationFriend,Bool,| -99 [missing data] | 0 | 1,"Indicates whether a person who initially enticed or obtained the individual into the situation of exploitation was one with whom the individual was familiar, exclusive of romantic partners, family relations, or other more formal relationships"
recruiterRelationFamily,Bool,| -99 [missing data] | 0 | 1,"Indicates whether a person who initially enticed or obtained the individual into the situation of exploitation was one with whom the individual was connected biologically, through marriage, or a person who the individual has identified as having been their current or former custodian or guardian. This may include, but is not limited to, parents, primary caregivers, and foster parents."
recruiterRelationOther,Bool,| -99 [missing data] | 0 | 1,Indicates whether a person who initially enticed or obtained the individual into the situation of exploitation was a person with whom the individual had any other notable relationship that cannot reasonably fit into previous categories.
recruiterRelationUnknown,,| -99 [missing data] | 0 | 1,"Indicates whether the individualÍs relationship to the person(s) who initially enticed or obtained the individual into the situation of exploitation was not provided by the responder/caseworker, the person reporting or the victim."
